tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,29.045126237195333,13.05156829290407,2.472907199668236,0.01,0.01,0.0
yellow,24.74063343050229,15.835968621556239,2.639650069163867,0.01,0.01,0.0
yellow,20.077262076689795,17.973378890026794,2.7701293924227763,0.01,0.01,0.0
yellow,15.195349278484006,19.554310293369568,2.8781674236660524,0.01,0.01,0.0
yellow,10.179707698030294,20.642675329408277,2.972581437980699,0.01,0.01,0.0
yellow,5.086526821454103,21.279270402800858,3.059201773408128,0.01,0.01,0.0
yellow,-0.042279607083033625,21.486784736186117,-3.1409080121061335,0.01,0.01,0.0
yellow,-5.170789678418014,21.272247817316778,-3.0578072892861736,0.01,0.01,0.0
yellow,-10.26305487711219,20.628423855268174,-2.9710913948202884,0.01,0.01,0.0
yellow,-15.276982842964994,19.532235277579016,-2.876487146890116,0.01,0.01,0.0
yellow,-20.15601304556952,17.94252691886041,-2.7681321744058933,0.01,0.01,0.0
yellow,-24.814595754821465,15.794925527492504,-2.63709320125185,0.01,0.01,0.0
yellow,-29.11071952177505,12.998103145915678,-2.469369827252599,0.01,0.01,0.0
yellow,-32.79474992919692,9.443691724700185,-2.245269577033625,0.01,0.01,0.0
yellow,-35.44452042697401,5.0765058214389045,-1.947508706052523,0.01,0.01,0.0
yellow,-36.49954535160685,0.07882093997885087,-1.576591288681887,0.01,0.01,0.0
yellow,-35.50251124004435,-4.930490783313392,-1.2045231457669614,0.01,0.01,0.0
yellow,-32.893695906980554,-9.32164829424247,-0.9043745488991803,0.01,0.01,0.0
yellow,-29.234249365275332,-12.900851366832267,-0.6781727878679334,0.01,0.01,0.0
yellow,-24.952532282383086,-15.71939708672738,-0.5090250390635895,0.01,0.01,0.0
yellow,-20.302578374029054,-17.885432991095122,-0.37709561993090457,0.01,0.01,0.0
yellow,-15.42885820315666,-19.49123769975883,-0.2681818080356995,0.01,0.01,0.0
yellow,-10.418092931040434,-20.60170601605949,-0.1732513647082325,0.01,0.01,0.0
yellow,-5.327557510124806,-21.259024643663256,-0.08636610135443011,0.01,0.01,0.0
yellow,-0.1996019455035114,-21.486438108274882,-0.0032118255588128373,0.01,0.01,0.0
yellow,4.9297137242995355,-21.291969322861565,0.07980769567208253,0.01,0.01,0.0
yellow,10.0245592084564,-20.668734571052372,0.16626137329283558,0.01,0.01,0.0
yellow,15.043335587914264,-19.594797549450753,0.2603618362029582,0.01,0.01,0.0
yellow,19.93040237240559,-18.02972858688233,0.36787099981392735,0.01,0.01,0.0
yellow,24.602207680889993,-15.91065629263688,0.49748169560655464,0.01,0.01,0.0
yellow,28.920681406267473,-13.14767360378304,0.6628190435991315,0.01,0.01,0.0
yellow,32.644156302190794,-9.632854722345797,0.8832325284420973,0.01,0.01,0.0
yellow,35.362418919982105,-5.30384004045206,1.1793045072707873,0.01,0.01,0.0
yellow,36.4881629877444,-0.320820158061173,1.348610165418772,0.01,0.01,0.0
car_start,27.0,0.0,1.6798754382038121,0.0,0.0,0.0
