tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,30.440836770405156,-21.5,0.03624768056318455,0.01,0.01,0.0
yellow,35.45235824732068,-21.135716832652992,0.6733307587718484,0.01,0.01,0.0
yellow,36.5,-16.666666666666657,1.460995998542517,0.01,0.01,0.0
yellow,36.5,-11.632756145866267,1.5707963267948966,0.01,0.01,0.0
yellow,36.5,-6.598845625065877,1.5707963267948966,0.01,0.01,0.0
yellow,36.5,-1.5649351042654729,1.5707963267948966,0.01,0.01,0.0
yellow,36.5,3.4689754165349314,1.5707963267948966,0.01,0.01,0.0
yellow,36.5,8.502885937335321,1.5707963267948966,0.01,0.01,0.0
yellow,36.5,13.536796458135711,1.58382941519207,0.01,0.01,0.0
yellow,36.36888280199784,18.56264844380941,1.9296027248220193,0.01,0.01,0.0
yellow,33.5626484438094,21.36888280199784,2.7827862555626717,0.01,0.01,0.0
yellow,28.53679645813571,21.5,3.12855956519262,0.01,0.01,0.0
yellow,23.50288593733532,21.5,3.141592653589793,0.01,0.01,0.0
yellow,18.46897541653493,21.5,3.141592653589793,0.01,0.01,0.0
yellow,13.435064895734511,21.5,3.141592653589793,0.01,0.01,0.0
yellow,8.401154374934121,21.5,3.141592653589793,0.01,0.01,0.0
yellow,3.3672438541337324,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-1.6666666666666856,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-6.70057718746708,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-11.734487708267467,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-16.768398229067856,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-21.80230874986825,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-26.836219270668668,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-31.870129791469054,21.5,-3.0083753949696477,0.01,0.01,0.0
yellow,-36.160632626932546,20.250426460942787,-2.207404955387144,0.01,0.01,0.0
yellow,-36.5,15.237373645602759,-1.6045615931512907,0.01,0.01,0.0
yellow,-36.5,10.203463124802369,-1.5707963267948966,0.01,0.01,0.0
yellow,-36.5,5.169552604001979,-1.5707963267948966,0.01,0.01,0.0
yellow,-36.5,0.13564208320158855,-1.5707963267948966,0.01,0.01,0.0
yellow,-36.5,-4.8982684375988015,-1.5707963267948966,0.01,0.01,0.0
yellow,-36.5,-9.93217895839922,-1.5707963267948966,0.01,0.01,0.0
yellow,-36.5,-14.96608947919961,-1.5707963267948966,0.01,0.01,0.0
car_start,-43.0,-20.0,0.0,0.0,0.0,0.0
